"","votemail1a","votemail1b","votecount","vote20jb"
"1123",1,77,5,2
"1124",1,77,5,1
"1125",3,77,5,2
"1126",7,77,4,1
"1127",3,77,3,2
"1128",1,77,5,3
"1129",2,77,5,2
"1130",6,77,2,2
"1131",1,77,5,2
"1132",1,77,4,1
"1133",3,77,4,3
"1134",2,77,2,2
"1135",1,77,3,1
"1136",2,77,4,2
"1137",7,77,5,2
"1138",1,77,4,3
"1139",4,77,4,1
"1140",3,77,2,2
"1141",5,77,2,1
"1142",1,77,4,2
"1143",4,77,4,2
"1144",7,77,3,1
"1145",1,77,5,2
"1146",1,77,2,1
"1147",2,77,4,1
"1148",4,77,4,3
"1149",3,77,5,2
"1150",4,77,3,2
"1151",4,77,1,3
"1152",4,77,1,4
"1153",1,77,3,4
"1154",2,77,2,2
"1155",4,77,3,2
"1156",4,77,3,2
"1157",3,77,2,2
"1158",7,77,2,1
"1159",1,77,2,2
"1160",6,77,4,1
"1161",7,77,3,1
"1162",7,77,3,1
"1163",2,77,3,1
"1164",1,77,5,1
"1165",1,77,4,2
"1166",1,77,3,1
"1167",1,77,5,2
"1168",4,77,3,3
"1169",1,77,4,2
"1170",2,77,2,2
"1171",7,77,3,1
"1172",2,77,3,2
"1173",1,77,5,2
"1174",3,77,3,3
"1175",5,77,4,1
"1176",1,77,3,3
"1177",1,77,3,3
"1178",4,77,4,2
"1179",1,77,5,2
"1180",7,77,4,1
"1181",4,77,4,3
"1182",3,77,3,3
"1183",1,77,4,1
"1184",6,77,2,1
"1185",3,77,3,1
"1186",4,77,3,2
"1187",1,77,4,2
"1188",7,77,2,1
"1189",6,77,4,1
"1190",1,77,5,1
"1191",1,77,4,1
"1192",2,77,3,1
"1193",1,77,1,3
"1194",1,77,4,2
"1195",4,77,4,1
"1196",1,77,2,2
"1197",2,77,3,2
"1198",3,77,4,1
"1199",1,77,4,4
"1200",4,77,4,1
"1201",7,77,3,1
"1202",6,77,2,1
"1203",7,77,4,1
"1204",5,77,4,1
"1205",2,77,4,2
"1206",1,77,5,1
"1207",1,77,4,1
"1208",2,77,2,1
"1209",1,77,3,1
"1210",1,77,2,2
"1211",2,77,2,2
"1212",2,77,4,2
"1213",6,77,4,1
"1214",1,77,3,2
"1215",7,77,3,1
"1216",1,77,5,2
"1217",6,77,4,2
"1218",1,77,5,2
"1219",2,77,4,1
"1220",5,77,1,4
"1221",1,77,1,2
"1222",1,77,5,1
"1223",2,77,2,3
"1224",4,77,2,2
"1225",1,77,4,2
"1226",1,77,1,4
"1227",2,77,3,2
"1228",4,77,5,2
"1229",4,77,4,4
"1230",7,77,2,1
"1231",4,77,4,1
"1232",6,77,3,1
"1233",1,77,3,2
"1234",5,77,2,3
"1235",3,77,4,1
